Date,P # [W]
2014-01-01 00:00:00,0.0
2014-01-01 00:15:00,0.0
2014-01-01 00:30:00,0.0
2014-01-01 00:45:00,0.0
2014-01-01 01:00:00,0.0
2014-01-01 01:15:00,0.0
2014-01-01 01:30:00,0.0
2014-01-01 01:45:00,0.0
2014-01-01 02:00:00,0.0
2014-01-01 02:15:00,0.0
2014-01-01 02:30:00,0.0
2014-01-01 02:45:00,0.0
2014-01-01 03:00:00,0.0
2014-01-01 03:15:00,0.0
2014-01-01 03:30:00,0.0
2014-01-01 03:45:00,0.0
2014-01-01 04:00:00,0.0
2014-01-01 04:15:00,0.0
2014-01-01 04:30:00,0.0
2014-01-01 04:45:00,0.0
2014-01-01 05:00:00,0.0
2014-01-01 05:15:00,0.0
2014-01-01 05:30:00,0.0
2014-01-01 05:45:00,0.0
2014-01-01 06:00:00,0.0
2014-01-01 06:15:00,0.0
2014-01-01 06:30:00,0.0
2014-01-01 06:45:00,0.0
2014-01-01 07:00:00,0.0
2014-01-01 07:15:00,0.0
2014-01-01 07:30:00,0.0
2014-01-01 07:45:00,0.0
2014-01-01 08:00:00,0.0
2014-01-01 08:15:00,0.0
2014-01-01 08:30:00,0.0
2014-01-01 08:45:00,0.0
2014-01-01 09:00:00,-6.755555555533333
2014-01-01 09:15:00,-24.33333333336
2014-01-01 09:30:00,-110.71111111111333
2014-01-01 09:45:00,-226.4
2014-01-01 10:00:00,-447.4444444443334
2014-01-01 10:15:00,-626.1999999998
2014-01-01 10:30:00,-698.5777777777333
2014-01-01 10:45:00,-946.4444444446
2014-01-01 11:00:00,-1174.1555555554
2014-01-01 11:15:00,-1010.9111111110667
2014-01-01 11:30:00,-1256.4444444440664
2014-01-01 11:45:00,-1880.2444444450666
2014-01-01 12:00:00,-2369.9333333333334
2014-01-01 12:15:00,-2577.2444444433336
2014-01-01 12:30:00,-3185.5777777780004
2014-01-01 12:45:00,-2685.4888888893333
2014-01-01 13:00:00,-3067.711111111333
2014-01-01 13:15:00,-3538.1777777779994
2014-01-01 13:30:00,-3074.777777778
2014-01-01 13:45:00,-3537.4444444440005
2014-01-01 14:00:00,-3705.4222222213334
2014-01-01 14:15:00,-2637.0888888893332
2014-01-01 14:30:00,-1696.1111111113335
2014-01-01 14:45:00,-1505.6222222208667
2014-01-01 15:00:00,-1442.7555555552667
2014-01-01 15:15:00,-876.4444444442667
2014-01-01 15:30:00,-201.26666666673336
2014-01-01 15:45:00,-161.0000000000267
2014-01-01 16:00:00,-21.755555555533338
2014-01-01 16:15:00,0.0
2014-01-01 16:30:00,0.0
2014-01-01 16:45:00,0.0
2014-01-01 17:00:00,0.0
2014-01-01 17:15:00,0.0
2014-01-01 17:30:00,0.0
2014-01-01 17:45:00,0.0
2014-01-01 18:00:00,0.0
2014-01-01 18:15:00,0.0
2014-01-01 18:30:00,0.0
2014-01-01 18:45:00,0.0
2014-01-01 19:00:00,0.0
2014-01-01 19:15:00,0.0
2014-01-01 19:30:00,0.0
2014-01-01 19:45:00,0.0
2014-01-01 20:00:00,0.0
2014-01-01 20:15:00,0.0
2014-01-01 20:30:00,0.0
2014-01-01 20:45:00,0.0
2014-01-01 21:00:00,0.0
2014-01-01 21:15:00,0.0
2014-01-01 21:30:00,0.0
2014-01-01 21:45:00,0.0
2014-01-01 22:00:00,0.0
2014-01-01 22:15:00,0.0
2014-01-01 22:30:00,0.0
2014-01-01 22:45:00,0.0
2014-01-01 23:00:00,0.0
2014-01-01 23:15:00,0.0
2014-01-01 23:30:00,0.0
2014-01-01 23:45:00,0.0
2014-01-02 00:00:00,0.0
2014-01-02 00:15:00,0.0
2014-01-02 00:30:00,0.0
2014-01-02 00:45:00,0.0
2014-01-02 01:00:00,0.0
2014-01-02 01:15:00,0.0
2014-01-02 01:30:00,0.0
2014-01-02 01:45:00,0.0
2014-01-02 02:00:00,0.0
2014-01-02 02:15:00,0.0
2014-01-02 02:30:00,0.0
2014-01-02 02:45:00,0.0
2014-01-02 03:00:00,0.0
2014-01-02 03:15:00,0.0
2014-01-02 03:30:00,0.0
2014-01-02 03:45:00,0.0
2014-01-02 04:00:00,0.0
2014-01-02 04:15:00,0.0
2014-01-02 04:30:00,0.0
2014-01-02 04:45:00,0.0
2014-01-02 05:00:00,0.0
2014-01-02 05:15:00,0.0
2014-01-02 05:30:00,0.0
2014-01-02 05:45:00,0.0
2014-01-02 06:00:00,0.0
2014-01-02 06:15:00,0.0
2014-01-02 06:30:00,0.0
2014-01-02 06:45:00,0.0
2014-01-02 07:00:00,0.0
2014-01-02 07:15:00,0.0
2014-01-02 07:30:00,0.0
2014-01-02 07:45:00,0.0
2014-01-02 08:00:00,0.0
2014-01-02 08:15:00,0.0
2014-01-02 08:30:00,0.0
2014-01-02 08:45:00,0.0
2014-01-02 09:00:00,-59.422222222200006
2014-01-02 09:15:00,-151.28888888895332
2014-01-02 09:30:00,-593.4222222219335
2014-01-02 09:45:00,-844.5999999997999
2014-01-02 10:00:00,-1570.9777777788668
2014-01-02 10:15:00,-2118.0222222218
2014-01-02 10:30:00,-2250.0666666673337
2014-01-02 10:45:00,-2335.3999999986668
2014-01-02 11:00:00,-2563.1333333340003
